Name,FB02UID,Username,Password,Matrikel,Raum,Platz,Date
Test User 0, test02s,wus-test02s, 84392, 012345, C175, 0, 22.03.2019
Test User 1, test12s,wus-test12s, 22261, 012345, C175, 1, 22.03.2019
Test User 2, test22s,wus-test22s, 63945, 012345, C175, 2, 22.03.2019
Test User 3, test32s,wus-test32s, 57806, 012345, C175, 3, 22.03.2019
Test User 4, test42s,wus-test42s, 76525, 012345, C175, 4, 22.03.2019
Test User 5, test52s,wus-test52s, 77743, 012345, C175, 5, 22.03.2019
Test User 6, test62s,wus-test62s, 47512, 012345, C175, 6, 22.03.2019
Test User 7, test72s,wus-test72s, 61891, 012345, C175, 7, 22.03.2019
Test User 8, test82s,wus-test82s, 36627, 012345, C175, 8, 22.03.2019
Test User 9, test92s,wus-test92s, 69843, 012345, C175, 9, 22.03.2019
